PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,Balls,Strikes,PitchCall,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,AutoPitchType,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2025-11-12,12:28:07,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,0,0,StrikeSwinging,TwoSeamFastBall,NA,NA,88.03686,-0.770345,-1.952574,2252.450823,255.930422,02:30:00,6.0718,1.77134,6.25822,-29.32257,6.87355,22.06312,2.91747,1.80878,79.21746,-6.284379,2.037468,0.433014,-11.94536,4.25233,-1.63592,50,6.00077,3.42807,-127.70051,-2.65255,-19.33251,31.1809,-25.29207,2bccd3f1-076e-4fb7-a590-682092186945,NA,NA,NA,NA,NA,807272,"Myers, Kolt",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,f6add5a0-bfec-11f0-a406-372210f9cb79,1,1,FLA_GAT,1,Top,0,Sinker,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-1,87.04662,NA,NA,8.8194,NA,NA,NA,59e5cfe6-c5eb-4b71-9fe6-33829a1ffad5,2025-11-12,17:28:07,2025-11-12T17:28:07Z,2025-11-12T17:28:07Z,NA,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,54.23803,-128.73116,15.59045,6.07463,-1.81655,-12.64604,-1.75979,4.06708,-9.66625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2025-11-12,12:28:31,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,0,1,FoulBallNotFieldable,Fastball,NA,NA,88.57644,-3.165816,-2.353314,2268.377452,177.497445,12:00:00,6.25389,1.61801,6.27241,-20.17863,15.22182,-0.61319,1.64851,-0.6037,80.79977,-6.980085,-2.464065,0.428229,-0.37894,9.21603,-1.4437,50,6.00963,5.30144,-128.41479,-7.68645,-0.62859,28.2175,-16.88565,9c5c91aa-2f98-41c3-bd5c-83573e20e3bb,NA,NA,NA,NA,NA,807272,"Myers, Kolt",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05385e60-bfed-11f0-a406-372210f9cb79,1,2,FLA_GAT,1,Top,0,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-1,88.01938,NA,NA,7.77667,NA,NA,NA,59e5cfe6-c5eb-4b71-9fe6-33829a1ffad5,2025-11-12,17:28:31,2025-11-12T17:28:31Z,2025-11-12T17:28:31Z,NA,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,54.22607,-129.34009,14.10875,6.2526,-7.13274,-8.44283,-1.61788,5.32205,-0.31429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2025-11-12,12:28:57,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,0,2,InPlay,Curveball,NA,NA,79.17095,0.306222,-1.828962,2345.907432,88.391326,09:00:00,5.78152,2.1906,5.13091,-45.19451,1.25772,-12.51056,2.30385,-0.57499,71.98306,-7.917577,-4.042559,0.49054,5.69248,0.94362,-2.00864,50,5.77528,4.17073,-114.72642,-0.96818,7.48182,23.96963,-30.93382,0b075ee1-5a03-4198-8d55-2939c1f9618d,NA,NA,NA,NA,-12.929965,807272,"Myers, Kolt",2050.594079,NA,58.7891,Right,-1.480283,NA,NA,NA,32.17026,30.09398,0.362239,-13.770929,1.91595,2.75488,0.20156,NA,NA,NA,NA,NA,14b49a20-bfed-11f0-a406-372210f9cb79,1,3,FLA_GAT,1,Top,0,Slider,Undefined,GroundBall,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-1,76.83863,2.75488,NA,7.18789,NA,NA,NA,59e5cfe6-c5eb-4b71-9fe6-33829a1ffad5,2025-11-12,17:28:57,2025-11-12T17:28:57Z,2025-11-12T17:28:57Z,GroundBall,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,55.36832,-115.84259,11.98482,5.78683,0.47228,-15.46691,-2.19474,3.82233,3.74091,94.737862,1.91684,83.97684,-8.32059,NA,NA,NA,NA,NA,NA,2.75634,-2.28056,-14.722,NA,NA,NA,NA,NA,NA,0.20392,-19.37382,-6.44803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2025-11-12,12:29:28,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,0,0,BallCalled,Fastball,NA,NA,87.35776,-1.236797,-1.10804,2288.529935,200.353651,12:45:00,6.22446,1.90816,6.04445,-21.71379,14.99926,5.0941,3.26952,1.30669,79.21526,-5.349901,-0.190964,0.436095,-2.94536,8.46701,-1.82447,50,6.11644,2.24045,-126.76728,-3.38066,-4.74731,28.2125,-18.52702,7a2fae57-8234-4cbe-b244-09580c165b9a,NA,NA,NA,NA,NA,10106329,"Schwarz, Colton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270615f0-bfed-11f0-a406-372210f9cb79,2,1,FLA_GAT,1,Top,0,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-1,86.43162,NA,NA,8.1425,NA,NA,NA,59e5cfe6-c5eb-4b71-9fe6-33829a1ffad5,2025-11-12,17:29:28,2025-11-12T17:29:28Z,2025-11-12T17:29:28Z,NA,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,54.45153,-127.75414,14.10625,6.22336,-2.73259,-9.26351,-1.90574,2.40651,-2.37365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2025-11-12,12:29:43,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,1,0,FoulBallNotFieldable,Fastball,NA,NA,88.12041,-0.942833,-1.773361,2321.288017,191.816028,12:30:00,6.21642,1.43927,6.07591,-19.7643,16.29702,3.14866,3.69653,0.06029,79.812,-4.708489,-1.20661,0.432208,-2.17488,9.06327,-1.30376,50,6.13304,3.83098,-127.87571,-2.67618,-3.56332,28.95989,-17.32472,32cfea33-f744-436b-a6c8-0d3362228b23,NA,NA,NA,NA,70.126824,10106329,"Schwarz, Colton",4277.615203,NA,85.6593,Right,23.766176,32.75174,43.8374,105.01091,283.75263,126.10331,3.833509,78.271194,1.33409,3.92835,-0.382,NA,NA,NA,NA,NA,2fffc110-bfed-11f0-a406-372210f9cb79,2,2,FLA_GAT,1,Top,0,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-1,87.20912,50.07218,NA,8.30841,NA,NA,NA,59e5cfe6-c5eb-4b71-9fe6-33829a1ffad5,2025-11-12,17:29:43,2025-11-12T17:29:43Z,2025-11-12T17:29:43Z,LineDrive,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,54.4216,-128.87317,14.47994,6.21494,-2.07947,-8.66236,-1.43782,3.95372,-1.78166,NA,1.33373,39.09615,-13.56045,3.54316,-0.7646,0.14299,-0.02219,0.00234,-1.1e-4,3.92909,50.61006,-13.6614,-0.46766,0.27873,-0.05296,2.2e-4,0.00192,-2.4e-4,-0.38245,108.14454,-18.96671,4.65782,-0.97372,0.18603,-0.03084,0.00344,-1.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.86774,0.6536,25.49924
6,2025-11-12,12:30:11,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,1,1,InPlay,ChangeUp,NA,NA,79.59276,-0.007451,-3.084494,1548.598592,265.317661,02:45:00,5.83923,2.22026,5.86599,-41.33392,3.06201,19.45836,2.38781,0.97371,72.70808,-7.637152,0.406077,0.47956,-11.00599,1.91662,-1.98217,50,5.81426,5.51249,-115.50456,-1.3068,-14.77448,22.78458,-29.60118,d7608c91-4af6-43a7-a83a-71547f4476a7,NA,NA,NA,NA,-42.881698,10106329,"Schwarz, Colton",1486.629685,NA,76.94047,Right,10.419861,NA,NA,NA,121.52398,120.23818,1.193864,-44.578165,4.84934,2.92419,-0.96923,NA,NA,NA,NA,NA,40e5c600-bfed-11f0-a406-372210f9cb79,2,3,FLA_GAT,1,Top,0,Changeup,Undefined,GroundBall,Double,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-1,78.59794,8.06147,NA,6.88468,NA,NA,NA,59e5cfe6-c5eb-4b71-9fe6-33829a1ffad5,2025-11-12,17:30:11,2025-11-12T17:30:11Z,2025-11-12T17:30:11Z,GroundBall,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,54.63582,-116.41543,11.39229,5.84285,-0.12341,-14.80059,-2.21435,6.10314,-7.38724,75.208791,4.84934,81.32531,-12.35007,1.65983,-0.34877,0.05079,-0.00731,0.00163,-1.9e-4,2.92419,20.40931,-21.23246,2.12403,-0.40428,0.08784,-0.01369,0.00213,-2.5e-4,-0.96923,-75.52375,3.72727,0.39872,-0.11965,0.04651,-0.00896,0.00137,-1.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.21056,23.61248,-55.19702
7,2025-11-12,12:30:39,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,0,0,BallCalled,Slider,NA,NA,78.58909,-0.376932,-2.224534,2315.8409,90.565145,09:00:00,5.75786,2.22604,5.26438,-45.12428,1.76217,-17.12832,1.64313,-1.29218,71.7339,-8.5816770000000009,-5.261221,0.492828,7.92288,1.42953,-2.0091,50,5.69012,5.10278,-113.9016,-2.28767,10.27116,23.49489,-30.32082,5c2fe9b5-3d05-4ba3-86aa-248d3cf077bf,NA,NA,NA,NA,NA,807272,"Myers, Kolt",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514535d0-bfed-11f0-a406-372210f9cb79,3,1,FLA_GAT,1,Top,0,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-1,76.482,NA,NA,6.85519,NA,NA,NA,59e5cfe6-c5eb-4b71-9fe6-33829a1ffad5,2025-11-12,17:30:39,2025-11-12T17:30:39Z,2025-11-12T17:30:39Z,NA,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,55.23529,-114.97643,11.74744,5.76304,-0.90057,-15.16041,-2.23179,4.6329,5.13558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2025-11-12,12:30:57,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,1,0,BallCalled,Curveball,NA,NA,78.7264,-0.300483,-2.111024,2256.822942,96.226589,09:15:00,5.87751,2.24142,5.14573,-43.40994,3.63154,-18.28536,1.97692,-1.27081,71.62936,-8.198441,-5.34473,0.493642,8.49201,2.34236,-2.02888,50,5.81613,4.93983,-114.05194,-2.09219,11.01106,24.02839,-29.13684,809abc14-65ef-4a81-b9f8-8cbc96cae067,NA,NA,NA,NA,NA,807272,"Myers, Kolt",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5c0262e0-bfed-11f0-a406-372210f9cb79,3,2,FLA_GAT,1,Top,0,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-1,76.35586,NA,NA,7.09704,NA,NA,NA,59e5cfe6-c5eb-4b71-9fe6-33829a1ffad5,2025-11-12,17:30:57,2025-11-12T17:30:57Z,2025-11-12T17:30:57Z,NA,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,55.35352,-115.17429,12.01419,5.88206,-0.73122,-14.56842,-2.24761,4.42551,5.50553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2025-11-12,12:31:16,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,2,0,InPlay,TwoSeamFastBall,NA,NA,87.64418,-1.578535,-2.324497,2145.381742,243.359919,02:00:00,6.04219,1.59755,6.24159,-26.16324,10.08367,17.59875,2.40434,0.91886,79.5661,-6.498367,0.85585,0.433318,-9.89855,6.08386,-1.43303,50,5.91167,4.4723,-127.19797,-4.30865,-16.03837,28.77346,-22.31652,0123a2d7-141a-4398-baef-a4baa895ac10,NA,NA,NA,NA,-34.03886,807272,"Myers, Kolt",2988.444845,NA,102.71766,Right,11.436205,87.4699,11.54377,-66.7007,181.9491,181.9491,1.459524,-39.782779,2.11251,2.56257,-0.89747,NA,NA,NA,NA,NA,6734bff0-bfed-11f0-a406-372210f9cb79,3,3,FLA_GAT,1,Top,0,Sinker,Undefined,LineDrive,Double,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-1,86.98562,12.00286,NA,8.07808,NA,NA,NA,59e5cfe6-c5eb-4b71-9fe6-33829a1ffad5,2025-11-12,17:31:16,2025-11-12T17:31:16Z,2025-11-12T17:31:16Z,LineDrive,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,54.25788,-128.15753,14.38673,6.04295,-3.56443,-11.15826,-1.5911,5.00716,-8.01919,NA,2.11251,122.3603,-24.16227,4.51972,-0.95413,0.16483,-0.04998,0.03008,-0.00784,2.56258,29.87062,-25.68647,3.65836,-0.82186,0.17416,-0.04042,0.01638,-0.00391,-0.89747,-82.65462,0.73957,1.71059,-0.5366,0.10039,-0.00395,0.00626,-0.00317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-11-12,12:31:41,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,0,0,BallCalled,ChangeUp,NA,NA,80.03551,0.035511,-2.097631,1605.23192,264.283293,02:45:00,5.84537,2.13015,5.98044,-41.05231,3.25689,15.98871,2.45729,1.5173,72.1089,-7.598763,0.779159,0.479091,-9.08445,2.01874,-1.97378,50,5.82528,3.67064,-116.08035,-1.18312,-12.11566,26.29867,-29.4817,ed1a2b77-22ed-44d7-900e-de013ed22552,NA,NA,NA,NA,NA,10106329,"Schwarz, Colton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7605a080-bfed-11f0-a406-372210f9cb79,4,1,FLA_GAT,1,Top,0,Changeup,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-1,78.67483,NA,NA,7.92661,NA,NA,NA,59e5cfe6-c5eb-4b71-9fe6-33829a1ffad5,2025-11-12,17:31:41,2025-11-12T17:31:41Z,2025-11-12T17:31:41Z,NA,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,54.51982,-117.09987,13.14933,5.84899,-0.04021,-14.74085,-2.12519,4.14032,-6.05783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
