PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,Balls,Strikes,PitchCall,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,AutoPitchType,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2025-11-12,16:01:58,"Biemiller, McCall",803538,Left,FLA_GAT,Undefined,0,0,StrikeCalled,Fastball,NA,NA,91.40923,-2.537888,3.115571,2187.554173,151.544378,11:00:00,5.7034,-2.11744,5.8197,-15.33288,18.41855,-9.37063,2.06103,0.00122,83.23867,-5.462828,1.439305,0.418136,5.65252,10.44981,1.86779,50,5.48629,-6.79226,-132.42466,-6.32311,10.00691,29.07949,-13.67426,38f864c2-0178-43b0-bfac-cfd00066e90e,NA,NA,NA,NA,NA,812807,"Jones, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d6762bc0-c00a-11f0-a406-372210f9cb79,1,1,FLA_GAT,1,Top,0,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-2,90.14398,NA,NA,8.17056,NA,NA,NA,8fb8e9a3-628d-4bd2-917e-53033ce94b91,2025-11-12,21:01:58,2025-11-12T21:01:58Z,2025-11-12T21:01:58Z,NA,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,54.67756,-133.44786,14.53975,5.70031,-5.84196,-6.83713,2.11298,-7.14437,5.00345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2025-11-12,16:02:11,"Biemiller, McCall",803538,Left,FLA_GAT,Undefined,0,1,StrikeCalled,Fastball,NA,NA,92.17728,-1.940718,4.017507,2122.994844,116.188832,09:45:00,5.71032,-2.22181,5.9071,-23.27037,9.79709,-17.70733,1.96458,0.03783,84.08792,-6.283245,0.845639,0.413877,10.18548,5.89894,1.90877,50,5.54082,-8.60103,-133.54139,-5.33177,18.35183,29.35842,-21.54552,c7c770b9-64c8-4b5b-947d-6dcfcf49e96d,NA,NA,NA,NA,NA,812807,"Jones, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddefc690-c00a-11f0-a406-372210f9cb79,1,2,FLA_GAT,1,Top,0,Sinker,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-2,91.07152,NA,NA,8.08936,NA,NA,NA,8fb8e9a3-628d-4bd2-917e-53033ce94b91,2025-11-12,21:02:11,2025-11-12T21:02:11Z,2025-11-12T21:02:11Z,NA,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,54.59209,-134.54715,14.67921,5.71083,-4.59366,-10.77276,2.21419,-9.22973,9.17592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2025-11-12,16:02:24,"Biemiller, McCall",803538,Left,FLA_GAT,Undefined,0,2,FoulBallNotFieldable,Fastball,NA,NA,91.14315,-0.800885,2.617722,2154.319235,120.76002,10:00:00,5.59703,-2.37986,5.79561,-25.14934,8.68249,-12.7593,2.75547,-1.00652,83.20157,-5.479763,0.333177,0.418634,7.24839,4.98366,2.17218,50,5.51609,-5.48884,-132.26284,-2.72963,12.81664,28.68399,-23.36192,ad92387e-7392-4d99-9e71-6f614b1bfa96,NA,NA,NA,NA,NA,812807,"Jones, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e5f8f730-c00a-11f0-a406-372210f9cb79,1,3,FLA_GAT,1,Top,0,Sinker,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-2,90.03682,NA,NA,7.94158,NA,NA,NA,8fb8e9a3-628d-4bd2-917e-53033ce94b91,2025-11-12,21:02:24,2025-11-12T21:02:24Z,2025-11-12T21:02:24Z,NA,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,54.70334,-133.27895,14.342,5.59813,-1.90205,-11.68096,2.37466,-5.94286,6.40832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2025-11-12,16:02:39,"Biemiller, McCall",803538,Left,FLA_GAT,Undefined,0,2,FoulBallFieldable,Slider,NA,NA,80.93773,0.821579,0.729517,2520.165056,264.99463,02:45:00,5.93852,-2.06596,5.2928,-40.96967,3.00847,17.53859,3.29591,0.0806,73.67039,-6.676464,3.84264,0.477298,-8.59323,1.66366,1.98612,50,5.98346,-2.21411,-117.40813,0.25478,-11.87503,24.30103,-29.87502,437be267-e905-45f7-aaae-5ed631e742d6,NA,NA,NA,NA,43.389269,812807,"Jones, Kyle",NA,NA,71.81095,Right,70.355356,NA,NA,NA,112.40802,37.60686,5.175159,70.335691,0.48967,4.11814,-0.03531,NA,NA,NA,NA,NA,eec8fa40-c00a-11f0-a406-372210f9cb79,1,4,FLA_GAT,1,Top,0,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-2,78.97041,115.14047,NA,7.26734,NA,NA,NA,8fb8e9a3-628d-4bd2-917e-53033ce94b91,2025-11-12,21:02:39,2025-11-12T21:02:39Z,2025-11-12T21:02:39Z,Popup,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,55.20673,-118.48092,12.15051,5.94311,1.57363,-14.93751,2.07229,-1.68989,-5.93752,197.933508,0.47685,25.91881,-13.31868,4.80799,-1.00411,0.00112,0.05719,-0.01195,7.8e-4,4.11851,99.14862,-27.05508,2.45019,0.19984,-0.29954,0.08964,-0.01236,6.7e-4,-0.02049,24.04197,1.31056,-2.40664,1.47007,-0.51299,0.09908,-0.00972,3.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.43394,14.51347,-22.30259
5,2025-11-12,16:03:09,"Biemiller, McCall",803538,Left,FLA_GAT,Undefined,0,2,FoulBallNotFieldable,Slider,NA,NA,80.16659,0.782604,0.756353,2537.120007,263.655853,02:45:00,5.93013,-2.04805,5.35191,-41.88837,3.29488,14.70985,3.17356,-0.1128,72.25783,-6.918929,3.370692,0.483794,-7.04059,1.93512,1.96948,50,5.97135,-2.15349,-116.12426,0.13788,-9.42794,25.666,-29.58277,5192ada2-78a3-4026-b424-25f919cf0888,NA,NA,NA,NA,168.132331,812807,"Jones, Kyle",4331.924969,NA,64.06831,Right,27.012715,NA,NA,NA,135.75629,45.4653,1.963854,173.442562,2.1368,3.08279,0.13963,NA,NA,NA,NA,NA,00e0a160-c00b-11f0-a406-372210f9cb79,1,5,FLA_GAT,1,Top,0,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-2,77.91014,21.35144,NA,7.90876,NA,NA,NA,8fb8e9a3-628d-4bd2-917e-53033ce94b91,2025-11-12,21:03:09,2025-11-12T21:03:09Z,2025-11-12T21:03:09Z,LineDrive,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,55.14328,-117.25553,12.833,5.93653,1.44178,-14.79139,2.05524,-1.73794,-4.71397,337.968088,2.13688,-81.93218,5.91922,-0.02714,0.54055,-0.72028,0.47653,-0.15296,0.01881,3.08277,42.68083,-27.57337,3.64042,-0.93011,0.38483,-0.17961,0.05794,-0.00796,0.13957,17.2209,-4.68095,0.09887,-0.42827,0.55007,-0.36197,0.11615,-0.01429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.00277,9.63034,-18.43986
6,2025-11-12,16:03:24,"Biemiller, McCall",803538,Left,FLA_GAT,Undefined,0,2,InPlay,ChangeUp,NA,NA,87.64321,-1.082872,3.662311,1813.239381,124.491633,10:15:00,5.6923,-2.39167,6.05436,-26.91545,9.61445,-12.16812,2.44482,-0.01104,79.57223,-6.122249,1.476282,0.435006,7.40559,5.6437,2.11326,50,5.59358,-7.63914,-127.02562,-3.26331,11.99269,28.17259,-23.03457,60e9bc23-c802-48a0-9b80-0ce561bd8e89,NA,NA,NA,NA,32.260452,812807,"Jones, Kyle",NA,NA,78.25134,Right,49.961872,80.68306,91.9456,74.76792,225.18531,115.27768,4.823011,49.822098,1.75903,2.43558,0.02534,NA,NA,NA,NA,NA,09a4e4a0-c00b-11f0-a406-372210f9cb79,1,6,FLA_GAT,1,Top,0,Changeup,Undefined,FlyBall,Out,1,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-2,86.64801,94.07316,NA,8.07098,NA,NA,NA,8fb8e9a3-628d-4bd2-917e-53033ce94b91,2025-11-12,21:03:24,2025-11-12T21:03:24Z,2025-11-12T21:03:24Z,FlyBall,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,54.44445,-128.00754,14.0863,5.69332,-2.46047,-11.51729,2.3868,-8.05713,5.99635,219.97853,1.81033,61.37253,-12.84707,-2.33859,4.63404,-2.23267,0.52154,-0.05932,0.00261,2.43897,87.77978,-24.71076,1.65003,0.50938,-0.42774,0.12926,-0.01847,0.00102,0.00342,39.84858,0.08306,1.06415,-1.5668,0.74277,-0.16777,0.01785,-7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2025-11-12,16:04:00,"Biemiller, McCall",803538,Left,FLA_GAT,Undefined,0,0,BallCalled,Slider,NA,NA,80.15266,0.273367,1.985408,2498.476058,259.153316,02:45:00,5.95647,-1.91577,5.15547,-41.11286,4.14071,13.48674,2.78789,1.07781,72.85145,-7.230206,4.370849,0.48417,-6.07496,2.45189,1.71954,50,5.95085,-4.59122,-116.12148,-0.89338,-8.19352,24.22297,-28.86711,cc28600f-0f13-4459-b2de-9539c65b9e29,NA,NA,NA,NA,NA,803734,"Yost, Hayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1f5c95e0-c00b-11f0-a406-372210f9cb79,2,1,FLA_GAT,1,Top,1,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-2,77.84963,NA,NA,7.30121,NA,NA,NA,8fb8e9a3-628d-4bd2-917e-53033ce94b91,2025-11-12,21:04:00,2025-11-12T21:04:00Z,2025-11-12T21:04:00Z,NA,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,55.34179,-117.23048,12.11149,5.9615,0.42825,-14.43356,1.92116,-4.21609,-4.09676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2025-11-12,16:04:12,"Biemiller, McCall",803538,Left,FLA_GAT,Undefined,1,0,BallCalled,Fastball,NA,NA,90.90962,-2.64399,3.504604,2157.657035,139.729755,10:45:00,5.56978,-2.12923,5.91622,-24.99478,9.09032,-6.73626,1.02676,0.56596,82.94418,-7.288249,2.297066,0.420198,4.47874,5.7791,1.85191,50,5.34324,-7.77362,-131.65354,-6.94063,7.81956,29.31682,-22.08422,6a8320cb-33b4-47f7-ac6a-394a51b326b4,NA,NA,NA,NA,NA,803734,"Yost, Hayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26a22860-c00b-11f0-a406-372210f9cb79,2,2,FLA_GAT,1,Top,1,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-2,89.70171,NA,NA,7.96544,NA,NA,NA,8fb8e9a3-628d-4bd2-917e-53033ce94b91,2025-11-12,21:04:12,2025-11-12T21:04:12Z,2025-11-12T21:04:12Z,NA,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,54.5818,-132.6699,14.65841,5.57058,-6.17501,-11.04211,2.1261,-8.04471,3.90978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2025-11-12,16:04:26,"Biemiller, McCall",803538,Left,FLA_GAT,Undefined,2,0,StrikeCalled,Fastball,NA,NA,91.79043,-2.60066,2.728984,2340.129554,158.610563,11:15:00,5.6345,-2.20889,6.02746,-17.58438,15.72473,-5.71217,1.75623,-0.15562,83.40406,-5.939417,1.702543,0.415387,3.73949,9.19646,1.99836,50,5.42125,-6.09177,-133.00632,-6.57388,6.65132,30.41412,-15.81646,9c9d0c6b-aef5-4f6d-aee1-836fbc95b196,NA,NA,NA,NA,NA,803734,"Yost, Hayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2eb67c90-c00b-11f0-a406-372210f9cb79,2,3,FLA_GAT,1,Top,1,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-2,90.74056,NA,NA,8.38637,NA,NA,NA,8fb8e9a3-628d-4bd2-917e-53033ce94b91,2025-11-12,21:04:26,2025-11-12T21:04:26Z,2025-11-12T21:04:26Z,NA,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,54.46927,-134.02440000000001,15.20706,5.63244,-6.04444,-7.90823,2.206,-6.31441,3.32566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-11-12,16:04:40,"Biemiller, McCall",803538,Left,FLA_GAT,Undefined,2,1,StrikeCalled,Fastball,NA,NA,91.48403,-2.615255,3.112309,2324.54946,151.229711,11:00:00,5.68072,-2.23967,5.99383,-18.23761,15.11083,-7.71083,1.73208,0.0048,83.72569,-6.054626,1.728137,0.415632,4.82355,8.81603,1.99849,50,5.4642,-6.88268,-132.6262,-6.63021,8.59597,28.22333,-16.46313,c8b9616d-0588-4183-bf79-a319069b0215,NA,NA,NA,NA,NA,803734,"Yost, Hayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36ce0510-c00b-11f0-a406-372210f9cb79,2,4,FLA_GAT,1,Top,1,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251112-CondronBallpark-Private-2,90.68699,NA,NA,7.75834,NA,NA,NA,8fb8e9a3-628d-4bd2-917e-53033ce94b91,2025-11-12,21:04:40,2025-11-12T21:04:40Z,2025-11-12T21:04:40Z,NA,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,54.50474,-133.58139,14.11166,5.67917,-6.07303,-8.23157,2.23635,-7.1736,4.29799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
