PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,Balls,Strikes,PitchCall,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,AutoPitchType,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2025-11-15,09:28:44,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,0,0,StrikeCalled,TwoSeamFastBall,NA,NA,87.97594,-1.208745,-2.786988,2198.837303,236.725012,02:00:00,6.09468,1.94559,6.13382,-24.7936,11.61505,15.64288,2.90986,0.67122,79.17655,-5.895911,0.031662,0.434284,-8.89504,6.78863,-1.74008,50,5.98967,5.54363,-127.47671,-3.45423,-14.38376,30.43252,-21.19649,b95388f4-a871-48df-8a8f-fbd3a79b75d4,NA,NA,NA,NA,NA,702710,"Bowen, Karson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6570d430-c22f-11f0-a0a7-8d861a32580b,1,1,FLA_GAT,1,Top,0,Sinker,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251115-CondronBallpark-Private-1,86.79216,NA,NA,8.79939,NA,NA,NA,4ef74a84-77b5-4f00-9fea-f1f2dcf25f13,2025-11-15,14:28:44,2025-11-15T14:28:44Z,2025-11-15T14:28:44Z,NA,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,54.36133,-128.51368,15.21626,6.09507,-2.73198,-10.59825,-1.93732,6.03374,-7.19188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2025-11-15,09:28:59,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,0,1,BallCalled,Slider,NA,NA,79.3132,-0.791463,-2.261517,2422.753778,90.680194,09:00:00,5.79035,2.47553,5.15824,-45.05117,2.0613,-14.93867,1.29047,-0.89921,71.09727,-9.012107,-4.905885,0.494014,6.58465,1.86709,-2.25239,50,5.68252,5.15122,-114.64079,-3.15792,8.48447,27.46535,-29.76829,ae0cdaed-dbe7-4856-a913-6acd4522a214,NA,NA,NA,NA,NA,702710,"Bowen, Karson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6dd6f1e0-c22f-11f0-a0a7-8d861a32580b,1,2,FLA_GAT,1,Top,0,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251115-CondronBallpark-Private-1,76.2983,NA,NA,8.21593,NA,NA,NA,4ef74a84-77b5-4f00-9fea-f1f2dcf25f13,2025-11-15,14:28:59,2025-11-15T14:28:59Z,2025-11-15T14:28:59Z,NA,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,55.337,-115.91237,13.73267,5.79682,-1.77972,-14.88414,-2.48178,4.75841,4.24223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2025-11-15,09:29:15,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,1,1,BallCalled,Slider,NA,NA,78.41663,1.550327,-0.175602,2406.405956,85.80018,08:45:00,5.89362,2.41783,5.27959,-47.16026,0.54638,-17.81678,3.41999,0.76818,70.17452,-7.113948,-3.33814,0.497119,8.71371,0.35354,-2.38872,50,6.00145,1.09873,-113.47382,1.43739,11.05821,25.92746,-31.72536,1d16d22d-bf30-4133-b0e5-e8c7b612ff27,NA,NA,NA,NA,NA,702710,"Bowen, Karson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777ce290-c22f-11f0-a0a7-8d861a32580b,1,3,FLA_GAT,1,Top,0,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251115-CondronBallpark-Private-1,75.82169,NA,NA,8.24211,NA,NA,NA,4ef74a84-77b5-4f00-9fea-f1f2dcf25f13,2025-11-15,14:29:15,2025-11-15T14:29:15Z,2025-11-15T14:29:15Z,NA,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,55.21493,-114.65917,12.96373,5.90258,2.88782,-15.86268,-2.4274,0.59317,5.5291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2025-11-15,09:29:33,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,2,1,StrikeCalled,TwoSeamFastBall,NA,NA,86.90192,-1.822783,-3.987467,2120.019753,232.268872,01:45:00,5.94691,1.78849,6.24342,-23.44237,13.79552,16.03343,2.30749,-0.55918,78.23772,-6.275605,-1.097942,0.439202,-9.58788,8.14804,-1.49875,50,5.79943,8.12288,-125.78504,-4.68814,-15.09843,29.5829,-19.34303,8a1a5583-8ded-4c86-a2c4-79b64df4d4aa,NA,NA,NA,NA,NA,702710,"Bowen, Karson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8244e510-c22f-11f0-a0a7-8d861a32580b,1,4,FLA_GAT,1,Top,0,Sinker,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251115-CondronBallpark-Private-1,85.82032,NA,NA,8.6642,NA,NA,NA,4ef74a84-77b5-4f00-9fea-f1f2dcf25f13,2025-11-15,14:29:33,2025-11-15T14:29:33Z,2025-11-15T14:29:33Z,NA,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,54.25331,-126.78141,14.79145,5.94636,-4.03665,-9.67152,-1.7809,8.6314,-7.54921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2025-11-15,09:29:54,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,2,2,StrikeSwinging,Fastball,NA,NA,88.07698,-2.412602,-1.61353,2307.327034,191.035861,12:15:00,6.28645,1.69453,6.0841,-18.72907,17.49588,3.15949,2.49152,0.4647,79.68361,-5.987093,-1.044517,0.433187,-2.15158,10.18217,-1.57164,50,6.09025,3.47005,-127.70692,-5.91059,-3.5053,29.61067,-15.58541,2a0f0fe0-e723-4d4d-accd-3e1f84aaece1,NA,NA,NA,NA,NA,702710,"Bowen, Karson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8ea38d20-c22f-11f0-a0a7-8d861a32580b,1,5,FLA_GAT,1,Top,0,Four-Seam,Strikeout,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251115-CondronBallpark-Private-1,87.01198,NA,NA,8.39336,NA,NA,NA,4ef74a84-77b5-4f00-9fea-f1f2dcf25f13,2025-11-15,14:29:54,2025-11-15T14:29:54Z,2025-11-15T14:29:54Z,NA,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,54.41373,-128.72623,14.80534,6.28448,-5.37408,-7.7927,-1.69318,3.59071,-1.75265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2025-11-15,09:30:17,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,0,0,StrikeCalled,ChangeUp,NA,NA,78.87251,-0.329346,-3.828517,1645.19421,259.828558,02:45:00,5.87872,2.36363,5.90925,-40.89786,4.6161,16.74729,2.16419,0.20037,71.58734,-7.903455,-0.825478,0.485561,-9.71453,2.97768,-2.06523,50,5.82929,7.00409,-114.24212,-1.92893,-12.685,23.3951,-28.28586,53f8cce4-9cda-42b9-8ab6-5715249f3e6d,NA,NA,NA,NA,NA,833422,"Miller, Sam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9cb45200-c22f-11f0-a0a7-8d861a32580b,2,1,FLA_GAT,1,Top,1,Changeup,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251115-CondronBallpark-Private-1,77.62658,NA,NA,7.28517,NA,NA,NA,4ef74a84-77b5-4f00-9fea-f1f2dcf25f13,2025-11-15,14:30:17,2025-11-15T14:30:17Z,2025-11-15T14:30:17Z,NA,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,54.58838,-115.17792,11.69755,5.88382,-0.7975,-14.14293,-2.35554,7.51149,-6.3425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2025-11-15,09:30:31,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,0,1,StrikeSwinging,Slider,NA,NA,78.91328,0.156544,-2.309825,2470.117886,73.541023,08:30:00,5.84885,2.48702,5.15923,-49.96928,-2.61728,-14.9943,1.83222,-0.93785,71.0472,-8.931415,-4.96385,0.495268,6.61504,-0.80843,-2.25942,50,5.82568,5.22842,-114.1526,-1.45956,8.49194,26.32161,-33.21186,f8ca3bde-da63-44f1-9f9d-0f3dde586189,NA,NA,NA,NA,NA,833422,"Miller, Sam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a4c10510-c22f-11f0-a0a7-8d861a32580b,2,2,FLA_GAT,1,Top,1,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251115-CondronBallpark-Private-1,76.10511,NA,NA,7.86608,NA,NA,NA,4ef74a84-77b5-4f00-9fea-f1f2dcf25f13,2025-11-15,14:30:31,2025-11-15T14:30:31Z,2025-11-15T14:30:31Z,NA,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,55.33746,-115.37676,13.16081,5.85764,0.08505,-16.60593,-2.4934,4.83347,4.24597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2025-11-15,09:30:48,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,0,2,BallCalled,FourSeamFastBall,NA,NA,89.08899,-2.921124,-3.012731,2354.2608,194.440463,12:30:00,6.2888,1.45657,6.28614,-15.75584,19.51627,4.69429,2.27763,-0.93135,80.4442,-5.969278,-2.165704,0.427452,-3.38303,11.42012,-1.23651,50,6.0653,6.59556,-128.989,-6.97896,-5.62002,30.33005,-13.20251,2c9ddc33-2571-4f3f-b0c1-c4742aa6b9c3,NA,NA,NA,NA,NA,833422,"Miller, Sam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aee4ff60-c22f-11f0-a0a7-8d861a32580b,2,3,FLA_GAT,1,Top,1,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251115-CondronBallpark-Private-1,88.17937,NA,NA,8.64479,NA,NA,NA,4ef74a84-77b5-4f00-9fea-f1f2dcf25f13,2025-11-15,14:30:48,2025-11-15T14:30:48Z,2025-11-15T14:30:48Z,NA,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,54.2094,-129.97501,15.16503,6.28521,-6.54975,-6.60126,-1.4539,6.77826,-2.81001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2025-11-15,09:31:04,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,1,2,InPlay,TwoSeamFastBall,NA,NA,88.00288,-1.758068,-3.124949,2212.901246,230.930767,01:45:00,5.9911,1.85767,6.13436,-25.14592,11.06197,12.05323,2.26778,-0.029,79.73638,-6.486898,-0.954038,0.433085,-7.23032,6.63622,-1.62519,50,5.84374,6.47953,-127.55814,-4.69984,-11.76947,29.18449,-21.37166,87bd77c4-69cb-4786-99d0-7bf3cc7974a3,NA,NA,NA,NA,-21.968093,833422,"Miller, Sam",NA,NA,103.25788,Right,-5.268822,NA,NA,NA,23.69588,22.33402,0.145736,-20.277052,2.44805,2.50189,-0.01588,NA,NA,NA,NA,NA,b8af40f0-c22f-11f0-a0a7-8d861a32580b,2,4,FLA_GAT,1,Top,1,Sinker,Undefined,GroundBall,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251115-CondronBallpark-Private-1,87.03247,2.50189,NA,8.26651,NA,NA,NA,4ef74a84-77b5-4f00-9fea-f1f2dcf25f13,2025-11-15,14:31:04,2025-11-15T14:31:04Z,2025-11-15T14:31:04Z,GroundBall,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,54.36403,-128.55273,14.59224,5.99149,-3.97151,-10.68583,-1.85284,6.88062,-5.88473,47.508175,2.44881,139.78664,-27.97538,NA,NA,NA,NA,NA,NA,2.5025,-13.96162,-22.05323,NA,NA,NA,NA,NA,NA,-0.01572,-56.42947,1.28783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-11-15,09:31:35,"Rowland, Blaine",813952,Right,FLA_GAT,Undefined,0,0,FoulBallNotFieldable,Slider,NA,NA,78.13438,0.717123,-1.35526,2448.767967,101.097593,09:15:00,5.82936,2.52728,5.23082,-43.32597,3.4211,-10.31567,2.89321,0.39343,72.00843,-7.166892,-3.184014,0.492095,4.86532,1.85244,-2.39418,50,5.8627,3.0818,-113.46515,-0.044,6.35903,20.26053,-29.7529,dfd627af-51ae-4237-9a0e-286f72d27278,NA,NA,NA,NA,-55.472757,702710,"Bowen, Karson",3900.804167,NA,91.05033,Right,63.213386,NA,NA,NA,NA,60.14027,NA,NA,4.7485,3.2972,-0.57546,NA,NA,NA,NA,NA,cb2a16b0-c22f-11f0-a0a7-8d861a32580b,3,1,FLA_GAT,1,Top,1,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251115-CondronBallpark-Private-1,76.59591,107.54654,NA,6.12595,NA,NA,NA,4ef74a84-77b5-4f00-9fea-f1f2dcf25f13,2025-11-15,14:31:35,2025-11-15T14:31:35Z,2025-11-15T14:31:35Z,NA,v3,471297,471297,NA,"Wilson, Ashton",701341,Right,FLA_GAT,55.27073,-114.40243,10.13027,5.8329,1.33241,-14.87645,-2.52995,2.78762,3.17952,NA,4.7485,34.1113,-11.96994,3.49571,-0.87884,0.21857,-0.05246,0.01031,-0.00115,3.2972,119.21021,-28.62594,3.84323,-0.82357,0.17242,-0.03748,0.00688,-7.3e-4,-0.57546,-49.58172,6.83091,-1.57554,0.33089,-0.07468,0.01682,-0.00318,3.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
